SERIE 0.00500 0.000000 -0.000000
SERIE 0.01000 62.150178 -0.128927
SERIE 0.01500 32.494029 -0.065484
SERIE 0.02000 48.044162 -0.098933
SERIE 0.02500 56.219554 -0.112813
SERIE 0.03000 62.106744 -0.124211
SERIE 0.03500 66.832956 -0.132642
SERIE 0.04000 70.358945 -0.134899
SERIE 0.04500 72.652780 -0.137312
SERIE 0.05000 73.744045 -0.134803
SERIE 0.05500 73.676657 -0.129586
SERIE 0.06000 72.504710 -0.121645
SERIE 0.06500 70.306747 -0.111041
SERIE 0.07000 67.167894 -0.098113
SERIE 0.07500 63.189220 -0.083095
SERIE 0.08000 58.473354 -0.066407
SERIE 0.08500 53.130487 -0.048410
SERIE 0.09000 47.273076 -0.029511
SERIE 0.09500 41.025942 -0.010090
SERIE 0.10000 34.495269 0.009347
SERIE 0.10500 27.804764 0.028545
SERIE 0.11000 21.071425 0.047288
SERIE 0.11500 14.393908 0.065032
SERIE 0.12000 7.880208 0.081341
SERIE 0.12500 1.619831 0.096404
SERIE 0.13000 -4.294810 0.109476
SERIE 0.13500 -9.796989 0.120854
SERIE 0.14000 -14.816661 0.130147
SERIE 0.14500 -19.300150 0.137393
SERIE 0.15000 -23.205302 0.142368
SERIE 0.15500 -26.502372 0.145115
SERIE 0.16000 -29.166303 0.145649
SERIE 0.16500 -31.191319 0.144489
SERIE 0.17000 -32.578222 0.140593
SERIE 0.17500 -33.336784 0.135392
SERIE 0.18000 -33.487839 0.128322
SERIE 0.18500 -33.060852 0.119802
SERIE 0.19000 -32.091863 0.110055
SERIE 0.19500 -30.623843 0.099247
SERIE 0.20000 -28.705532 0.087747
SERIE 0.20500 -26.392187 0.075458
SERIE 0.21000 -23.738529 0.063187
SERIE 0.21500 -20.805535 0.050806
SERIE 0.22000 -17.652356 0.038688
SERIE 0.22500 -14.343763 0.027037
SERIE 0.23000 -10.937677 0.016034
SERIE 0.23500 -7.492798 0.005907
SERIE 0.24000 -4.066812 -0.003217
SERIE 0.24500 -0.711703 -0.011213
SERIE 0.25000 2.521175 -0.017929
SERIE 0.25500 5.587877 -0.023245
SERIE 0.26000 8.448986 -0.027225
SERIE 0.26500 11.070927 -0.029703
SERIE 0.27000 13.421968 -0.030736
SERIE 0.27500 15.480410 -0.030326
SERIE 0.28000 17.227199 -0.028474
SERIE 0.28500 18.651040 -0.025350
SERIE 0.29000 19.746421 -0.020693
SERIE 0.29500 20.512286 -0.015131
SERIE 0.30000 20.953008 -0.008361
SERIE 0.30500 21.078234 -0.000736
SERIE 0.31000 20.902935 0.007696
SERIE 0.31500 20.443952 0.016747
