# x y   -- 126 marcadores, centros dos subsegmentos de 126 lados
2.499689 2.012461
2.498447 2.037353
2.495965 2.062153
2.492251 2.086797
2.487312 2.111226
2.481163 2.135378
2.473816 2.159194
2.465292 2.182614
2.455611 2.205580
2.444798 2.228034
2.432878 2.249922
2.419882 2.271189
2.405843 2.291781
2.390794 2.311648
2.374774 2.330740
2.357822 2.349010
2.339981 2.366412
2.321294 2.382903
2.301808 2.398442
2.281572 2.412991
2.260637 2.426513
2.239053 2.438974
2.216874 2.450344
2.194157 2.460595
2.170957 2.469700
2.147332 2.477638
2.123340 2.484388
2.099042 2.489934
2.074498 2.494262
2.049768 2.497361
2.024915 2.499223
2.000000 2.499845
1.975085 2.499223
1.950232 2.497361
1.925502 2.494262
1.900958 2.489934
1.876660 2.484388
1.852668 2.477638
1.829043 2.469700
1.805843 2.460595
1.783126 2.450344
1.760947 2.438974
1.739363 2.426513
1.718428 2.412991
1.698192 2.398442
1.678706 2.382903
1.660019 2.366412
1.642178 2.349010
1.625226 2.330740
1.609206 2.311648
1.594157 2.291781
1.580118 2.271189
1.567122 2.249922
1.555202 2.228034
1.544389 2.205580
1.534708 2.182614
1.526184 2.159194
1.518837 2.135378
1.512688 2.111226
1.507749 2.086797
1.504035 2.062153
1.501553 2.037353
1.500311 2.012461
1.500311 1.987539
1.501553 1.962647
1.504035 1.937847
1.507749 1.913203
1.512688 1.888774
1.518837 1.864622
1.526184 1.840806
1.534708 1.817386
1.544389 1.794420
1.555202 1.771966
1.567122 1.750078
1.580118 1.728811
1.594157 1.708219
1.609206 1.688352
1.625226 1.669260
1.642178 1.650990
1.660019 1.633588
1.678706 1.617097
1.698192 1.601558
1.718428 1.587009
1.739363 1.573487
1.760947 1.561026
1.783126 1.549656
1.805843 1.539405
1.829043 1.530300
1.852668 1.522362
1.876660 1.515612
1.900958 1.510066
1.925502 1.505738
1.950232 1.502639
1.975085 1.500777
2.000000 1.500155
2.024915 1.500777
2.049768 1.502639
2.074498 1.505738
2.099042 1.510066
2.123340 1.515612
2.147332 1.522362
2.170957 1.530300
2.194157 1.539405
2.216874 1.549656
2.239053 1.561026
2.260637 1.573487
2.281572 1.587009
2.301808 1.601558
2.321294 1.617097
2.339981 1.633588
2.357822 1.650990
2.374774 1.669260
2.390794 1.688352
2.405843 1.708219
2.419882 1.728811
2.432878 1.750078
2.444798 1.771966
2.455611 1.794420
2.465292 1.817386
2.473816 1.840806
2.481163 1.864622
2.487312 1.888774
2.492251 1.913203
2.495965 1.937847
2.498447 1.962647
2.499689 1.987539
