# orientacao coord  -- linhas da malha de fundo, h=0,05
v 1.2000
v 1.2500
v 1.3000
v 1.3500
v 1.4000
v 1.4500
v 1.5000
v 1.5500
v 1.6000
v 1.6500
v 1.7000
v 1.7500
v 1.8000
v 1.8500
v 1.9000
v 1.9500
v 2.0000
v 2.0500
v 2.1000
v 2.1500
v 2.2000
v 2.2500
v 2.3000
v 2.3500
v 2.4000
v 2.4500
v 2.5000
v 2.5500
v 2.6000
v 2.6500
v 2.7000
v 2.7500
v 2.8000
v 2.8500
v 2.9000
h 1.2000
h 1.2500
h 1.3000
h 1.3500
h 1.4000
h 1.4500
h 1.5000
h 1.5500
h 1.6000
h 1.6500
h 1.7000
h 1.7500
h 1.8000
h 1.8500
h 1.9000
h 1.9500
h 2.0000
h 2.0500
h 2.1000
h 2.1500
h 2.2000
h 2.2500
h 2.3000
h 2.3500
h 2.4000
h 2.4500
h 2.5000
h 2.5500
h 2.6000
h 2.6500
h 2.7000
h 2.7500
h 2.8000
h 2.8500
h 2.9000
